<<<<<<< HEAD
5

35 3777 3778 
6202 9384
5469 2778
5916 7794
5533 5387
2469 6650
4992 2363
9819 8691
7195 7764
9404 541
5404 9173
3214 5212
3751 2568
5437 5783
1759 2863
6270 4068
9623 3930
9493 4023
5589 3070
9576 1394
2411 5012
2052 6230
3484 4422
2855 3785
6985 5199
524 8316
5048 6414
6568 6092
6957 9957
4871 6863
3733 6997
2504 2306
3612 7085
604 337
8484 847
2479 1314

35 3777 3778 
6202 9384
5469 2778
5916 7794
5533 5387
2469 6650
4992 2363
9819 8691
7195 7764
9404 541
5404 9173
3214 5212
3751 2568
5437 5783
1759 2863
6270 4068
9623 3930
9493 4023
5589 3070
9576 1394
2411 5012
2052 6230
3484 4422
2855 3785
6985 5199
524 8316
5048 6414
6568 6092
6957 9957
4871 6863
3733 6997
2504 2306
3612 7085
604 337
8484 847
2479 1314
35 3777 3778 
6202 9384
5469 2778
5916 7794
5533 5387
2469 6650
4992 2363
9819 8691
7195 7764
9404 541
5404 9173
3214 5212
3751 2568
5437 5783
1759 2863
6270 4068
9623 3930
9493 4023
5589 3070
9576 1394
2411 5012
2052 6230
3484 4422
2855 3785
6985 5199
524 8316
5048 6414
6568 6092
6957 9957
4871 6863
3733 6997
2504 2306
3612 7085
604 337
8484 847
2479 1314
35 3777 3778 
6202 9384
5469 2778
5916 7794
5533 5387
2469 6650
4992 2363
9819 8691
7195 7764
9404 541
5404 9173
3214 5212
3751 2568
5437 5783
1759 2863
6270 4068
9623 3930
9493 4023
5589 3070
9576 1394
2411 5012
2052 6230
3484 4422
2855 3785
6985 5199
524 8316
5048 6414
6568 6092
6957 9957
4871 6863
3733 6997
2504 2306
3612 7085
604 337
8484 847
2479 1314
35 3777 3778 
6202 9384
5469 2778
5916 7794
5533 5387
2469 6650
4992 2363
9819 8691
7195 7764
9404 541
5404 9173
3214 5212
3751 2568
5437 5783
1759 2863
6270 4068
9623 3930
9493 4023
5589 3070
9576 1394
2411 5012
2052 6230
3484 4422
2855 3785
6985 5199
524 8316
5048 6414
6568 6092
6957 9957
4871 6863
3733 6997
2504 2306
3612 7085
604 337
8484 847
2479 1314
=======
1
5 1 2
1 2
1 2
1 2
1 2
1 4
>>>>>>> 211430e95cae0cd2e02c45cda137394b1371df65
